키워드,언론사,기사명,날짜,URL
파이낸셜뉴스,"""베이비붐 세대 대거 은퇴""…고령자 추가채용장려금 신설·노인일자리 내실화",2021-09-30,http://www.fnnews.com/news/202109300919155693,고령 계층 지원
이데일리,노후대책 마땅찮은데…30여년 후 절반이 고령자가구,2021-09-30,http://www.edaily.co.kr/news/newspath.asp?newsid=01216886629185368,고령 계층 지원
위키트리,"고양시, 노인복지망 구축..고령친화도시 조성",2021-09-30,https://www.wikitree.co.kr/articles/693283,고령 계층 지원
머니투데이,"""본인 명의 휴대폰 없어도 소상공인 재난지원금 신청 가능해야""",2021-09-29,http://news.mt.co.kr/mtview.php?no=2021092909220214911,고령 계층 지원
경상일보,"울산시, 취약계층에 냉난방 물품·전기료 지원·주거환경 개선",2021-10-01,http://www.ksilbo.co.kr/news/articleView.html?idxno=914329,고령 계층 지원
비즈니스포스트,"홍남기 “고령자 추가채용장려금 신설, 베이비붐 은퇴에 적극 대응”",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252291,고령 계층 지원
서울신문,본인 명의 휴대전화 없는 고령 소상공인…재난지원금 행정기관 대리 신청 등 ...,11면 1단,https://www.seoul.co.kr/news/newsView.php?id=20210930011021&wlog_tag3=naver,고령 계층 지원
제주교통복지신문,60세 이상 고용증가 중소기업에 ‘고령자 고용장려금’ 신설,2021-10-01,http://www.jejutwn.com/news/article.html?no=94848,고령 계층 지원
뉴스투데이,"상주시, 취약계층 ‘찾아가는 국민지원금’ 신청 창구 운영",2021-09-30,https://www.news2day.co.kr/article/20210929500078,고령 계층 지원
서울경제,2025년 인구 절반이 고령자···늘어나는 고령인구에 맞춰 노인일자리도 증가,2021-09-30,https://www.sedaily.com/NewsView/22RNJNBC25,고령 계층 지원
뉴시스,"정선군, 저소득 고령자 가구에 가스안전차단기",2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594064&cID=10805&pID=10800,고령 계층 지원
공감신문,"대구시, 사회적기업의 자생력 향상 및 취약계층 일자리창출사업비로 국비 6억...",2021-09-28,http://www.gokorea.kr/news/articleView.html?idxno=713603,고령 계층 지원
충청타임즈,"""소외계층과 사랑 나누는 계기 되길""",2021-09-29,http://www.cctimes.kr/news/articleView.html?idxno=674634,고령 계층 지원
뉴시스,"전남도, 계층별 맞춤형 주거복지사업 추진",2021.09.19.,http://www.newsis.com/view/?id=NISX20210919_0001589107&cID=10809&pID=10800,고령 계층 지원
에너지경제,"하이트진로, 고령자 및 장애인 이동차량 기증 기관 모집",2021-09-27,https://www.ekn.kr/web/view.php?key=20210927010003997,고령 계층 지원
아시아투데이,"[2021 금융대상] JT저축은행, 고금리 대출 선제 중단으로 취약계층 지원 강화",2021-09-30,https://www.asiatoday.co.kr/view.php?key=20210929010015019,고령 계층 지원
프레시안,"태백시, 취약계층 공공이불빨래방 조성",2021-09-25,https://www.pressian.com/pages/articles/2021092417073465586?utm_source=naver&utm_medium=search,고령 계층 지원
부산MBC,"1호 초고령 도시 부산, '인구 감소에 적응하라'",2021-09-27,https://busanmbc.co.kr/article/CKoD0P5BpaVMlyV_iQnN,고령 계층 지원
기호일보,"양주1동, 취약계층 주거환경 개선 위한 '사랑의 집 고치기' 사업 추진",2021-09-28,http://www.kihoilbo.co.kr/news/articleView.html?idxno=947217,고령 계층 지원
울산MBC,"부산] 1호 초고령 도시 부산, '인구 감소에 적응하라'",2021-09-29,https://www.usmbc.co.kr/article/XQWAlcEElaJrkVq23b-,고령 계층 지원
한겨레,아동·노인돌봄·취약계층 예산도…코로나 시국 ‘생색내기 확충’,6면 1단,https://www.hani.co.kr/arti/economy/economy_general/1012567.html,고령 계층 지원
기호일보,"소방안전원 경기지부, 화재취약계층에 주택용 소방시설 727개 보급",2021-09-29,http://www.kihoilbo.co.kr/news/articleView.html?idxno=947421,고령 계층 지원
백세시대,"경남연합회, 고령자 식생활 건강개선교육용 건강꾸러미 전달",2021-09-28,http://www.100ssd.co.kr/news/articleView.html?idxno=80710,고령 계층 지원
뉴시스,"BC카드, 추석 맞아 취약계층에 '건강식품 꾸러미' 지원",2021.09.13.,http://www.newsis.com/view/?id=NISX20210913_0001581521&cID=15001&pID=15000,고령 계층 지원
경인매일,"동두천시 중앙동, 건강취약계층 가정 방문하여 방역 활동 전개",2021-09-28,http://www.kmaeil.com/news/articleView.html?idxno=307674,고령 계층 지원
소비자가 만드는 신문,[금융소비자보호 우수콘텐츠 대상] 교보생명 '다솜이드림메이커스'로 소외 계...,2021-09-27,http://www.consumernews.co.kr/news/articleView.html?idxno=635826,고령 계층 지원
신아일보,"평창군, 취약계층 농가에 일손지원 큰 호응",2021-09-24,http://www.shinailbo.co.kr/news/articleView.html?idxno=1463112,고령 계층 지원
경인매일,"시흥시 신천동, 취약계층에 힘이 되는 '찾아가는 국민지원금 신청' 추진",2021-09-24,http://www.kmaeil.com/news/articleView.html?idxno=307297,고령 계층 지원
머니투데이,"""환경·식량·고령화 문제 해결할 ESG 스타트업 찾는다""",2021.09.19.,http://news.mt.co.kr/mtview.php?no=2021091615464296948,고령 계층 지원
