키워드,언론사,기사명,날짜,URL
이데일리,"비트코인 ETF 승인 기대감에 반등, 4만3000달러대로 올라",10분 전,http://www.edaily.co.kr/news/newspath.asp?newsid=01597366629208656,비트코인
파이낸셜뉴스,"[코인브리핑] 비트코인-이더리움, 반등세로 전환",2021-09-30,http://www.fnnews.com/news/202109301017350963,비트코인
아시아경제,[비트코인 지금] 가상화폐 ETF 출시 기대감에…5300만원대 반등,2021-09-30,https://view.asiae.co.kr/article/2021093022050718364,비트코인
뉴시스,[코인시황]비트코인 약세 지속…5000만원대 횡보,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598217&cID=10401&pID=10400,비트코인
뉴시스,[코인시황]투자심리 얼어붙었나…비트코인 5000만원대로,2021-09-29,http://www.newsis.com/view/?id=NISX20210929_0001596605&cID=10401&pID=10400,비트코인
이데일리,"비트코인 하락세, 5000만원선도 위태",2021-09-29,http://www.edaily.co.kr/news/newspath.asp?newsid=01535046629185040,비트코인
뉴시스,"비트코인, 10월 다시 뛴다…6만달러 돌파 전망",2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001597234&cID=10401&pID=10400,비트코인
파이낸셜뉴스,[코인브리핑] 비트코인 5000만원도 '턱걸이',2021-09-30,http://www.fnnews.com/news/202109291117224375,비트코인
디지털투데이,가상자산 급등...비트코인 4만3000달러대,34분 전,http://www.digitaltoday.co.kr/news/articleView.html?idxno=418908,비트코인
컨슈머타임스,"비트코인, 5% 반등…5300만원대",28분 전,http://www.cstimes.com/news/articleView.html?idxno=476056,비트코인
파이낸셜뉴스,또 중국발 충격에..비트코인 등 가상자산 일제 하락,2021-09-28,http://www.fnnews.com/news/202109280631195734,비트코인
한겨레,[단독] ‘코인 과세’ 유예 없다…내년 1월부터 시행 결론,2021-09-30,https://www.hani.co.kr/arti/economy/economy_general/1013339.html,비트코인
이코노미스트,'헝다 파산·중국발 규제' 충격 여진 남았나…비트코인 5100만원대로 '뚝',2021-09-29,https://economist.co.kr/2021/09/28/stock/stockNormal/20210928174652566.html,비트코인
비즈니스포스트,"비트코인 5340만 원대로 올라, 가상화폐 시세 거의 다 상승",2021-10-01,https://www.businesspost.co.kr/BP?command=article_view&num=252518,비트코인
서울경제,"'억만장자 투자자' 노보그라츠 ""비트코인, 급락 후 상승 랠리갈 것""",2021-09-30,https://www.sedaily.com/NewsView/22RO0520SJ,비트코인
한국경제TV,대형주 추천 믿었던 개미의 눈물…`10만전자`·`비트코인 1억` 영영 멀어지나...,21분 전,https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202110010052&t=NNv,비트코인
한겨레,100년 전 ‘비트코인’ 꿈꾼 사람이 있다,26면 1단,https://www.hani.co.kr/arti/opinion/column/1013432.html,비트코인
신아일보,[07:50 가상자산] 비트코인 5300만원대 상승…이더리움 360만원대,2021-10-01,http://www.shinailbo.co.kr/news/articleView.html?idxno=1466189,비트코인
파이낸셜뉴스,"[글로벌포스트] 세계 최대 POS업체 베리폰, 비트코인 결제 도입",2021-09-29,http://www.fnnews.com/news/202109290622571920,비트코인
서울와이어,"[서울와이어10월1일 모닝브리핑]비트코인 시세 5300만원대,이더리움 리플등 상...",2021-10-01,http://www.seoulwire.com/news/articleView.html?idxno=452355,비트코인
신아일보,[07:50 가상자산] 비트코인 5300만원대 상승…이더리움 360만원대,2021-10-01,http://www.shinailbo.co.kr/news/articleView.html?idxno=1466189,비트코인
파이낸셜뉴스,"[글로벌포스트] 세계 최대 POS업체 베리폰, 비트코인 결제 도입",2021-09-29,http://www.fnnews.com/news/202109290622571920,비트코인
서울와이어,"[서울와이어10월1일 모닝브리핑]비트코인 시세 5300만원대,이더리움 리플등 상...",2021-10-01,http://www.seoulwire.com/news/articleView.html?idxno=452355,비트코인
한국경제,"""비트코인 그거 너무 비싸잖아"" [한경 코알라]",2021-09-30,https://www.hankyung.com/economy/article/202109280794i,비트코인
뉴시스,"모건스탠리, 비트코인 펀드 투자 2배 이상 늘어나",2021-09-29,http://www.newsis.com/view/?id=NISX20210928_0001596112&cID=10401&pID=10400,비트코인
뉴스1,[속보] 비트코인 5.33% 급등한 4만3193달러에 거래돼,2021-10-01,https://www.news1.kr/articles/?4449026,비트코인
서울와이어,"비트코인 시세 5300만원대,이더리움 360만원대,리플 도지코인 상승세",2021-10-01,http://www.seoulwire.com/news/articleView.html?idxno=452346,비트코인
비즈니스포스트,"비트코인 5220만 원대로 올라, 가상화폐 '혼조' 테마기업 주가 '상승'",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252476,비트코인
서울경제,"前 비트코인 개발자 ""비트코인, 2061년에는 70억 간다""",2021-09-30,https://www.sedaily.com/NewsView/22RNK6LOLH,비트코인
데일리안,"[코인뉴스] 동력 잃은 비트코인, 5천만원대 횡보…하락장 본격화?",2021-09-30,https://www.dailian.co.kr/news/view/1037121/?sc=Naver,비트코인
뉴시스,"페이코인으로 커피 결제…다날핀테크, 이디야커피와 제휴",2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001597517&cID=10401&pID=10400,비트코인
아시아경제,"[비트코인 지금] 5000만원선 아래서 반등…머스크 “美 정부, 가상화폐 규제 ...",2021-09-30,https://view.asiae.co.kr/article/2021092914422900274,비트코인
한국경제,"트위터, 친블록체인 행보…비트코인 후원 기능 이어 'NFT 프로필' 도입",2021-09-30,https://www.hankyung.com/it/article/202109307895g,비트코인
매일경제,"""모든 코인 거래 불법""...中 전면전 선포했다, 비트코인 급락",A1면 1단,http://news.mk.co.kr/newsRead.php?no=914041&year=2021,비트코인
전자신문,"다날, 싸이월드 전용 간편결제 '싸이페이' 만든다…페이코인도 연동",22면 3단,http://www.etnews.com/20210930000055,비트코인
국민일보,비트코인 또 중국발 시련의 계절…5000만원선 위협,2021-09-25,http://news.kmib.co.kr/article/view.asp?arcid=0016300532&code=61141111&cp=nv,비트코인
디지털투데이,가상자산 상승 국면...비트코인 4만1000달러대,2021-09-30,http://www.digitaltoday.co.kr/news/articleView.html?idxno=418777,비트코인
서울경제,"코인 거래소 3사 합작법인 CODE, 포스텍과 트래블룰 산학협력",10분 전,https://www.sedaily.com/NewsView/22SKLD4JJS,비트코인
한국경제,'가상자산 펀드' 5년간 7배 증가…내년 美 비트코인 ETF 통과 전망,2021-09-30,https://www.hankyung.com/it/article/202109293816g,비트코인
컨슈머타임스,"비트코인, 5000만원대 등락 거듭",2021-09-30,http://www.cstimes.com/news/articleView.html?idxno=475849,비트코인
뉴스1,"中 비트코인 보유자들 처분 나섰다…""암호화폐 더 떨어질 것""",2021-09-27,https://www.news1.kr/articles/?4443536,비트코인
이투데이,"비트코인, 중국 규제에 하락하자...가상자산 투자상품에 1100억 유입돼",2021-09-29,https://www.etoday.co.kr/news/view/2065176,비트코인
파이낸셜뉴스,"[코인브리핑] JP모건 CEO ""빚내서 비트코인 투자하면 바보""",2021-09-29,http://www.fnnews.com/news/202109281136240885,비트코인
중앙일보,"기욤 패트리 ""친구따라 82만원에 산 비트코인, 60배 올랐다""",2021-09-28,https://www.joongang.co.kr/article/25010087,비트코인
이코노미스트,"""모든 암호화폐 거래는 불법""…中 규제 강화 속 비트코인, 5300만원대로 상승...",2021-09-28,https://economist.co.kr/2021/09/27/stock/stockNormal/20210927145159006.html,비트코인
매일경제,[박용범 특파원의 월스트리트 인사이트] 美 헤지펀드가 비트코인 투자 나선 까...,2021-09-30,http://news.mk.co.kr/newsRead.php?no=926721&year=2021,비트코인
서울신문,“비트코인 투자하면 고수익” 미끼 100억대 사기범 일당 실형,2021-09-27,https://www.seoul.co.kr/news/newsView.php?id=20210926500007&wlog_tag3=naver,비트코인
조선일보,82만원에 산 코인 60배 올랐다는 기욤 패트리의 대박 투자법,2021-09-30,https://www.chosun.com/economy/2021/09/30/YTQG5GNYWFDUDFH25QBL7QMSGE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,비트코인
아시아경제,[비트코인 지금] 5100만원대로 소폭 하락…가상화폐 업계의 ‘탈중국’ 이어져,2021-09-29,https://view.asiae.co.kr/article/2021092817351162751,비트코인
데일리안,"[코인뉴스] 비트코인, 여전한 공포심에 거래량 ‘뚝’…5100만원대 횡보",2021-09-30,https://www.dailian.co.kr/news/view/1037028/?sc=Naver,비트코인
코인리더스,"비트코인 4년 주기 사이클 사라지고 있다?...""구조적으로 달라졌다""",2021-09-30,http://coinreaders.com/12592,비트코인
한국경제TV,"핀테크업체 어펌 ""예금계좌로도 비트코인 거래 가능해질 것""",2021-09-30,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109300150&t=NN,비트코인
코인리더스,"美 SEC 위원장, 비트코인 ETF 승인 가능성 재차 언급...""규제 피할 수 없다""",2021-09-30,http://coinreaders.com/12593,비트코인
법률방송뉴스,"빚 안 갚는 비트코인 부자, 가상자산 압류 가능할까… 국회 논의 주목",2021-09-30,http://www.ltn.kr/news/articleView.html?idxno=32907,비트코인
한겨레,중국 중앙은행 “암호화폐 관련 거래 모두 불법”…비트코인 폭락,2021-09-25,https://www.hani.co.kr/arti/international/international_general/1012663.html,비트코인
아이뉴스24,"[분석] '엘살바도르 땡큐'…비트코인, 재시동 실마리 잡았나",2021-09-28,http://www.inews24.com/view/1407027,비트코인
서울경제,"이란 증권거래소, 건물 지하서 비트코인 몰래 채굴하다 적발",2021-09-30,https://www.sedaily.com/NewsView/22RNZM70UU,비트코인
뉴시스,"[코인시황]비트코인 5400만원대 회복…트위터, 비트코인 후원 도입",2021-09-24,http://www.newsis.com/view/?id=NISX20210924_0001591687&cID=15001&pID=15000,비트코인
브레이크뉴스,1일 9시 비트코인 5349만원선 5.31%↑..이더리움 366만원 5.07%↑,23분 전,http://www.breaknews.com/837217,비트코인
핀포인트뉴스,"[코인시황] 비트코인, 10월엔 떡상? 미국 테이퍼링 변동성 관건",2021-09-30,http://www.pinpointnews.co.kr/view.php?ud=202109301019106667a029d22e5e_45,비트코인
뉴스1,"코인마켓 거래소 거래량 '예상대로' 급감…""2차 구조조정 불가피""",2021-09-30,https://www.news1.kr/articles/?4444817,비트코인
이데일리,"비트코인, '헝다 쇼크' 하락분 만회",2021-09-24,http://www.edaily.co.kr/news/newspath.asp?newsid=01384166629183400,비트코인
내외경제tv,"[가상화폐 이슈] 비트코인, 이더리움 상승세...어제 하락장에 이어 금일 상승...",2021-09-30,http://www.nbntv.co.kr/news/articleView.html?idxno=935709,비트코인
코인리더스,"갤럭시 디지털 CEO ""다음 비트코인 랠리는 2021년말...4만달러가 중요해""",2021-09-30,http://coinreaders.com/12576,비트코인
서울와이어,"비트코인 시세 5000만원대,이더리움 340만원대,리플 도지코인 하락세",2021-09-30,http://www.seoulwire.com/news/articleView.html?idxno=452249,비트코인
비즈니스포스트,"비트코인 5140만 원대로 올라, 가상화폐 '상승' 테마기업 주가 '하락'",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252238,비트코인
이데일리,'헝다 쇼크' 만회했던 비트코인 中 '가상화폐' 단속에 다시 하락,2021-09-26,http://www.edaily.co.kr/news/newspath.asp?newsid=01184086629184056,비트코인
서울와이어,"[서울와이어 30일 모닝브리핑]비트코인 시세 5000만원대,이더리움 리플등 가상...",2021-09-30,http://www.seoulwire.com/news/articleView.html?idxno=452256,비트코인
아시아경제,[비트코인 지금] 중국발 악재에서 벗어나…5200만원대로 소폭 반등,2021-09-28,https://view.asiae.co.kr/article/2021092720343608937,비트코인
머니S,"중국, 암호화폐 거래 불법 규정·단속… 비트코인 가격 급락",2021-09-25,http://moneys.mt.co.kr/news/mwView.php?no=2021092507268034300,비트코인
한국경제,"""기관들, 비트코인 팔고 이더리움 산다"" JP모간",2021-09-24,https://www.hankyung.com/finance/article/202109241833i,비트코인
코인리더스,"베테랑 암호화폐 투자자 ""비트코인 '포모(FOMO) 랠리' 온다…20만달러 넘을 수...",2021-09-30,http://coinreaders.com/12582,비트코인
컨슈머타임스,"비트코인, 5000만원대 하락",2021-09-29,http://www.cstimes.com/news/articleView.html?idxno=475674,비트코인
테크M,[크립토 브리핑] 비트코인 소폭 상승에도 5000만원선 위태...투심 '극단적 공...,2021-09-30,https://www.techm.kr/news/articleView.html?idxno=88966,비트코인
한국경제TV,"中 암호화폐 규제에 몸값 '껑충'…""비트코인 상승률 추월""",2021-09-27,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109270035&t=NN,비트코인
파이낸셜뉴스,"[위클리마켓뷰] 비트코인, 또 '추석 징크스'",2021-09-26,http://www.fnnews.com/news/202109241625285365,비트코인
데일리안,"[코인뉴스] ‘송버드코인’ 에어드랍, 업비트·빗썸 안되고 고팍스 되는 이유...",2021-09-30,https://www.dailian.co.kr/news/view/1037458/?sc=Naver,비트코인
한국경제,"중국, 이제 비트코인보다 이더리움 겨냥한다?…""집중 단속 돌입""",2021-09-30,https://www.hankyung.com/it/article/202109294778g,비트코인
조선비즈,"‘헝다 충격’에 급락했던 비트코인 가격, 또다시 지지부진",2021-09-27,https://biz.chosun.com/stock/stock_general/2021/09/26/QI5B6IM3JBHADDQH3QLX2FALAA/?utm_source=naver&utm_medium=original&utm_campaign=biz,비트코인
파이낸셜뉴스,"[코인브리핑] 비트코인, 다시 하락세…5307만원",2021-09-25,http://www.fnnews.com/news/202109241142104408,비트코인
뉴시스,"텔레그램·비트코인 이용 마약 판매한 30대 여성, 집행유예",2021.09.23.,http://www.newsis.com/view/?id=NISX20210923_0001590262&cID=10810&pID=10800,비트코인
YTN,"中 ""모든 코인 거래 불법""...가상화폐 급락",2021-09-25,https://www.ytn.co.kr/_ln/0104_202109250716081417,비트코인
머니투데이,'비트코인 채굴업체'와 '원자력 업체'가 손잡는 이유는?,10면 1단,http://news.mt.co.kr/mtview.php?no=2021092714205478395,비트코인
광주매일신문,비트코인·도지코인 시세,2021-09-29,http://www.kjdaily.com/article.php?aid=1632805428556877227,비트코인
국제뉴스,[가상화폐 시세] 비트코인·이더리움 소폭 상승 '헝다그룹 자회사 은행지분 매...,2021-09-30,http://www.gukjenews.com/news/articleView.html?idxno=2318127,비트코인
디지털투데이,가상자산 시장 '흔들'…비트코인 4만1000달러대 다시 추락,2021-09-29,http://www.digitaltoday.co.kr/news/articleView.html?idxno=418631,비트코인
코인데스크코리아,"[저녁브리핑] 암호화폐 과세, 미국 비트코인 ETF, DC 코믹스 NFT 출시 예정",2021-09-30,http://www.coindeskkorea.com/news/articleView.html?idxno=75536,비트코인
매일안전신문,"[출근길 코인 시황] 비트코인, 5000만원도 위태... '거래소 줄폐쇄' 영향?",2021-09-30,http://www.idsn.co.kr/news/articleView.html?idxno=55842,비트코인
신아일보,[09:32 가상자산] 비트코인 5000만원대 등락…이더리움 340만원대,2021-09-30,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465149,비트코인
국제뉴스,리플 코인 SEC 소송 일정·결과·전망 뜨거운 관심,2021-09-30,http://www.gukjenews.com/news/articleView.html?idxno=2319303,비트코인
데일리안,"[코인뉴스] 비트코인, 심상치 않은 하락세…4천만원대 나락 가나",2021-09-29,https://www.dailian.co.kr/news/view/1036598/?sc=Naver,비트코인
전자신문,"“코인마켓 전환 후 거래량 95% 감소”…블록체인 협단체, 특금법 재개정 촉구",22면 3단,http://www.etnews.com/20210928000157,비트코인
뉴시스,[코인시황]비트코인 5200만원대로 하락…유니스왑 상승中,2021-09-27,http://www.newsis.com/view/?id=NISX20210927_0001593677&cID=10401&pID=10400,비트코인
뉴시스,추석 연휴 후 반등 성공한 비트코인,2021-09-24,http://www.newsis.com/view/?id=NISI20210923_0017976111,비트코인
코인리더스,"[코툰] 노벨 경제학상 한케 교수 ""비트코인 내재가치 제로(0)""",2021-09-30,http://coinreaders.com/12569,비트코인
에너지경제,"오후 암호화폐 시세, 비트코인캐시에이비씨· 이캐시 '급등'…다른 코인은 하...",2021-09-29,https://www.ekn.kr/web/view.php?key=20210928010004393,비트코인
뉴스1,고수익 미끼로 비트코인 투자금 66억 가로챈 일당 5명 실형·집유,2021-09-26,https://www.news1.kr/articles/?4443459,비트코인
KBS,비트코인 투자 100억 대 사기…최대 징역 3년 선고,2021-09-27,https://news.kbs.co.kr/news/view.do?ncd=5287233&ref=A,비트코인
브레이크뉴스,30일 9시 비트코인 5083만원선 1.05%↑..이더리움 349만원 1.34%↑,2021-09-30,http://www.breaknews.com/836898,비트코인
서울와이어,"비트코인 시세 5100만원대,이더리움 350만원대,리플등 횡보세",2021-09-29,http://www.seoulwire.com/news/articleView.html?idxno=452145,비트코인
뉴시스,"[코인시황]비트코인 5400만원대 회복…트위터, 비트코인 후원 도입",2021-09-24,http://www.newsis.com/view/?id=NISX20210924_0001591687&cID=15001&pID=15000,비트코인
브레이크뉴스,1일 9시 비트코인 5349만원선 5.31%↑..이더리움 366만원 5.07%↑,23분 전,http://www.breaknews.com/837217,비트코인
핀포인트뉴스,"[코인시황] 비트코인, 10월엔 떡상? 미국 테이퍼링 변동성 관건",2021-09-30,http://www.pinpointnews.co.kr/view.php?ud=202109301019106667a029d22e5e_45,비트코인
뉴스1,"코인마켓 거래소 거래량 '예상대로' 급감…""2차 구조조정 불가피""",2021-09-30,https://www.news1.kr/articles/?4444817,비트코인
이데일리,"비트코인, '헝다 쇼크' 하락분 만회",2021-09-24,http://www.edaily.co.kr/news/newspath.asp?newsid=01384166629183400,비트코인
내외경제tv,"[가상화폐 이슈] 비트코인, 이더리움 상승세...어제 하락장에 이어 금일 상승...",2021-09-30,http://www.nbntv.co.kr/news/articleView.html?idxno=935709,비트코인
디지털타임스,다단계 돌려막기식 100억대 `비트코인 투자 사기` 벌인 일당...실형·집유,2021-09-26,http://www.dt.co.kr/contents.html?article_no=2021092602109919002001&ref=naver,비트코인
더팩트,"비트코인, 1.7% 반등…이틀 만에 '중국발 충격' 극복 ",2021-09-27,http://news.tf.co.kr/read/economy/1889890.htm,비트코인
국제뉴스,[가상화폐 시세] 비트코인 상승 전환 '최악에도 6만달러 돌파 예상',2021-09-30,http://www.gukjenews.com/news/articleView.html?idxno=2318101,비트코인
코인리더스,"갤럭시 디지털 CEO ""다음 비트코인 랠리는 2021년말...4만달러가 중요해""",2021-09-30,http://coinreaders.com/12576,비트코인
이데일리,"기욤 패트리 “5년 전 산 비트코인, 70배 올랐다”",2021-09-28,http://www.edaily.co.kr/news/newspath.asp?newsid=02850326629184384,비트코인
이코노미스트,"트위터가 살린 비트코인…잭 도시 ""코인으로 후원 기능 도입""",2021-09-25,https://economist.co.kr/2021/09/24/stock/stockNormal/20210924095327305.html,비트코인
서울와이어,"비트코인 시세 5000만원대,이더리움 340만원대,리플 도지코인 하락세",2021-09-30,http://www.seoulwire.com/news/articleView.html?idxno=452249,비트코인
비즈니스포스트,"비트코인 5140만 원대로 올라, 가상화폐 '상승' 테마기업 주가 '하락'",2021-09-30,https://www.businesspost.co.kr/BP?command=article_view&num=252238,비트코인
이데일리,'헝다 쇼크' 만회했던 비트코인 中 '가상화폐' 단속에 다시 하락,2021-09-26,http://www.edaily.co.kr/news/newspath.asp?newsid=01184086629184056,비트코인
서울와이어,"[서울와이어 30일 모닝브리핑]비트코인 시세 5000만원대,이더리움 리플등 가상...",2021-09-30,http://www.seoulwire.com/news/articleView.html?idxno=452256,비트코인
아시아경제,[비트코인 지금] 중국발 악재에서 벗어나…5200만원대로 소폭 반등,2021-09-28,https://view.asiae.co.kr/article/2021092720343608937,비트코인
머니S,"중국, 암호화폐 거래 불법 규정·단속… 비트코인 가격 급락",2021-09-25,http://moneys.mt.co.kr/news/mwView.php?no=2021092507268034300,비트코인
MTN,비트코인 이틀만에 '반등'…2%대 상승,2021-09-27,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092706455910238,비트코인
뉴시스,"中 ""모든 암호화폐 거래 불법""…비트코인 급락(종합)",2021-09-25,http://www.newsis.com/view/?id=NISX20210924_0001592812&cID=10101&pID=10100,비트코인
팩트경제신문,[오늘 코인] 中 비트코인 규제에 5000만원대 하락,2021-09-30,https://www.facten.co.kr/news/articleView.html?idxno=207295,비트코인
한국경제,"""기관들, 비트코인 팔고 이더리움 산다"" JP모간",2021-09-24,https://www.hankyung.com/finance/article/202109241833i,비트코인
코인데스크코리아,"SEC 의장, 비트코인 ETF 승인 가능성 재확인",2021-09-30,http://www.coindeskkorea.com/news/articleView.html?idxno=75523,비트코인
코인리더스,"베테랑 암호화폐 투자자 ""비트코인 '포모(FOMO) 랠리' 온다…20만달러 넘을 수...",2021-09-30,http://coinreaders.com/12582,비트코인
컨슈머타임스,"비트코인, 5000만원대 하락",2021-09-29,http://www.cstimes.com/news/articleView.html?idxno=475674,비트코인
이투데이,"다날핀테크 페이코인, 국내 최다 매장 이디야커피와 제휴",2021-09-30,https://www.etoday.co.kr/news/view/2065237,비트코인
핀포인트뉴스,인트로메딕 싸이페이 본격 구축 주가 '활활'... 비트코인 결제 가능,2021-09-30,http://www.pinpointnews.co.kr/view.php?ud=202109301430027901861beb2d9d_45,비트코인
뉴스1,비트코인 중국발 충격 딛고 이틀 만에 2% 상승 반전(상보),2021-09-27,https://www.news1.kr/articles/?4443930,비트코인
더팩트,"비트코인 5400만 원대 회복…트위터, 가상자산 후원 기능 도입",2021-09-25,http://news.tf.co.kr/read/economy/1889581.htm,비트코인
테크M,[크립토 브리핑] 비트코인 소폭 상승에도 5000만원선 위태...투심 '극단적 공...,2021-09-30,https://www.techm.kr/news/articleView.html?idxno=88966,비트코인
YTN,"""비트코인 거래 회사 투자"" 100억대 사기 일당 실형",2021-09-27,https://www.ytn.co.kr/_ln/0115_202109261238280842,비트코인
한국경제TV,"中 암호화폐 규제에 몸값 '껑충'…""비트코인 상승률 추월""",2021-09-27,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109270035&t=NN,비트코인
헤럴드경제,"기욤 패트리 “친구따라 산 비트코인, 60~70배 올랐다”",2021-09-28,http://news.heraldcorp.com/view.php?ud=20210927001051,비트코인
비즈니스포스트,"비트코인 5100만 원대로 내려, 가상화폐 시세 거의 다 하락",2021-09-29,https://www.businesspost.co.kr/BP?command=article_view&num=252071,비트코인
파이낸셜뉴스,"[위클리마켓뷰] 비트코인, 또 '추석 징크스'",2021-09-26,http://www.fnnews.com/news/202109241625285365,비트코인
SBS,中 중앙은행 '가상화폐 단속 강화'에 비트코인 가격 하락,2021-09-25,https://news.sbs.co.kr/news/endPage.do?news_id=N1006475885&plink=ORI&cooper=NAVER,비트코인
뉴스1,"中 암호화폐 거래 형사처벌, 비트코인 5% 이상 급락(상보)",2021-09-25,https://www.news1.kr/articles/?4443043,비트코인
데일리안,"[코인뉴스] ‘송버드코인’ 에어드랍, 업비트·빗썸 안되고 고팍스 되는 이유...",2021-09-30,https://www.dailian.co.kr/news/view/1037458/?sc=Naver,비트코인
한국경제,"중국, 이제 비트코인보다 이더리움 겨냥한다?…""집중 단속 돌입""",2021-09-30,https://www.hankyung.com/it/article/202109294778g,비트코인
조선비즈,"‘헝다 충격’에 급락했던 비트코인 가격, 또다시 지지부진",2021-09-27,https://biz.chosun.com/stock/stock_general/2021/09/26/QI5B6IM3JBHADDQH3QLX2FALAA/?utm_source=naver&utm_medium=original&utm_campaign=biz,비트코인
영남일보,"비트코인, 중국발 충격 딛고 상승 전환",2021-09-28,https://www.yeongnam.com/web/view.php?key=20210927001018132,비트코인
SBS,"中 ""가상화폐 거래, 불법"" 이후 비트코인 · 이더리움 가격 하락",2021-09-26,https://news.sbs.co.kr/news/endPage.do?news_id=N1006475903&plink=ORI&cooper=NAVER,비트코인
한국경제,中 규제 강화 방침에…비트코인 등 가상화폐 가격 급락,2021-09-25,https://www.hankyung.com/economy/article/2021092442327,비트코인
디지털투데이,"모건 스탠리, 비트코인 투자 2배 늘려",2021-09-29,http://www.digitaltoday.co.kr/news/articleView.html?idxno=418511,비트코인
파이낸셜뉴스,"[코인브리핑] 비트코인, 다시 하락세…5307만원",2021-09-25,http://www.fnnews.com/news/202109241142104408,비트코인
뉴시스,"텔레그램·비트코인 이용 마약 판매한 30대 여성, 집행유예",2021.09.23.,http://www.newsis.com/view/?id=NISX20210923_0001590262&cID=10810&pID=10800,비트코인
