키워드,언론사,기사명,날짜,URL
MBN,"LS, 세계경제포럼 '등대공장' 선정…""제조업 미래 제시""",2021-09-29,http://www.mbn.co.kr/pages/vod/programContents.php?progCode=683&menuCode=4385&bcastSeqNo=1283017,세계 경제
JTBC,[뉴스체크｜경제] LS일렉트릭 '세계등대공장' 선정,2021-09-30,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12025268,세계 경제
아주경제,국제유가 100달러 전망…긴장하는 세계경제,2021-09-30,http://www.ajunews.com/view/20210930085302598,세계 경제
매경헬스,"블루앤트, 2021 세계지식경제포럼서 '올라케어' 비전 발표",2021-09-30,http://www.mkhealth.co.kr/news/articleView.html?idxno=55062,세계 경제
조세일보,[중국 전력난 사태] “中전력난 세계경제 뒤흔들 것”…석탄 재고량 1주일분도...,2021-09-30,http://www.joseilbo.com/news/news_read.php?uid=434303&class=42&grp=,세계 경제
MBN,'퍼펙트스톰' 진짜 오나?…불안한 세계 경제,2021-09-30,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4606099,세계 경제
서울신문,"美 셧다운·테이퍼링, 中 헝다·전력대란… 세계경제 한 치 앞도 안 보인다",6면 1단,https://www.seoul.co.kr/news/newsView.php?id=20210930006007&wlog_tag3=naver,세계 경제
빅데이터뉴스,"LS, 2021년 세계경제포럼서 '세계등대공장' 선정",2021-09-30,http://www.thebigdata.co.kr/view.php?ud=202109291300194828d0a8833aad_23,세계 경제
조선비즈,[WHY] 석탄값 상승에 멈춰선 발전소...세계경제 ‘대형 악재’ 中 전력난 3대...,2021-09-29,https://biz.chosun.com/international/international_economy/2021/09/29/VMVHJEWBAZB4TLUBAPLEPJJCVY/?utm_source=naver&utm_medium=original&utm_campaign=biz,세계 경제
뉴시스,중국 전력난 세계경제 위협…공급망 혼란· 물가상승 부추겨(종합),2021-09-29,http://www.newsis.com/view/?id=NISX20210928_0001596355&cID=10101&pID=10100,세계 경제
SBS,"중국 전력 부족 심화…""세계 경제에 영향줄 수도""",2021-09-28,https://news.sbs.co.kr/news/endPage.do?news_id=N1006478064&plink=ORI&cooper=NAVER,세계 경제
아시아경제,"전 세계 에너지 대란 조짐…中 전력난, 세계경제 위협",4면 1단,https://view.asiae.co.kr/article/2021092709595350539,세계 경제
