키워드,언론사,기사명,날짜,URL
뉴스1,"[RFiF 2021]이백규 뉴스1 대표 ""'Triple ESG' 피할 수 없는 트렌드""",2021-09-30,https://www.news1.kr/articles/?4448005,소비트렌드 변화
매일경제,상가시장 기존 공식 깨져 … 투자 · 개발 트렌드 바뀐다,2021-09-30,http://news.mk.co.kr/newsRead.php?no=928479&year=2021,소비트렌드 변화
쿠키뉴스,합천 농업⋅농촌의 새로운 도전과 변화,2021-09-29,http://www.kukinews.com/newsView/kuk202109280108,소비트렌드 변화
매일일보,합천 농업의 새로운 도전과 변화,2021-09-29,http://www.m-i.kr/news/articleView.html?idxno=863282,소비트렌드 변화
주간한국,골프 시장 소비 트렌드도 MZ세대 바람,2021-09-28,https://weekly.hankooki.com/lpage/economy/202109/wk20210927113405146450.htm?s_ref=nv,소비트렌드 변화
서울경제,"다변화되는 트렌드 시대, 고도몰 전문 기업 '카이먼' 주목",2021-09-28,https://www.sedaily.com/NewsView/22RN2R4ZZQ,소비트렌드 변화
뉴스프리존,"합천군, 소비 트렌드에 맞춘 소득작물 개발",2021-09-29,http://www.newsfreezone.co.kr/news/articleView.html?idxno=337737,소비트렌드 변화
지피코리아,코로나로 변화하는 소비 트렌드에 발맞춘 '힐스에비뉴 도안' 특화설계 주목,2021-09-27,http://www.gpkorea.com/news/articleView.html?idxno=78275,소비트렌드 변화
시장경제신문,전세계 뷰티산업 트렌드 확인... 제7회 오송국제바이오컨퍼런스 개최,2021-09-29,http://www.meconomynews.com/news/articleView.html?idxno=58502,소비트렌드 변화
뉴시스,"""중남미 소비재 시장, 온라인으로 공략해야""",2021.09.09.,http://www.newsis.com/view/?id=NISX20210909_0001577706&cID=13001&pID=13000,소비트렌드 변화
이데일리,"KB금융, '소비자가 본 ESG와 친환경 소비 행동' 발간",2021.09.05.,http://www.edaily.co.kr/news/newspath.asp?newsid=01154566629177168,소비트렌드 변화
뉴시스,"전경련 ""MZ세대 55%, 모바일·온라인 통해 소비물품 구매""",2021.09.13.,http://www.newsis.com/view/?id=NISX20210912_0001580740&cID=13001&pID=13000,소비트렌드 변화
시사오늘,"[카드오늘] 롯데카드, 카카오엔터와 손잡는다…삼성카드, ""코로나가 명절 소비...",2021.09.13.,http://www.sisaon.co.kr/news/articleView.html?idxno=131543,소비트렌드 변화
뉴스투데이,"코로나 추석, 소비트렌드 변화됐다 …삼성카드 빅데이터 분석",2021.09.13.,https://www.news2day.co.kr/article/20210913500130,소비트렌드 변화
이투데이,커지는 디커플링 우려...새로운 소비 트렌드 ‘주목’,2021.09.20.,https://www.etoday.co.kr/news/view/2063353,소비트렌드 변화
아시아투데이,"김은지 BAT로스만스 대표 ""2030년까지 5000만명, 비연소 제품 소비자로 전환""",2021-09-28,https://www.asiatoday.co.kr/view.php?key=20210927010013317,소비트렌드 변화
머니투데이,"렌탈비교 플랫폼 '더블체크', 소비자가 직접 고르는 렌탈시장 구현",2021.09.14.,http://news.mt.co.kr/mtview.php?no=2021091400427455176,소비트렌드 변화
e대한경제,“변해야 산다”… ‘착한 기업’ 변화 바람 부는 롯데,2021.09.07.,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109071038125970801,소비트렌드 변화
머니S,"M ""Z의 철없는 명품소비""… '가까운 듯 먼' 그들, 세대 갈등 빚나",2021.09.14.,http://moneys.mt.co.kr/news/mwView.php?no=2021091015538052636,소비트렌드 변화
머니S,명절 주류 트렌드는 '양주'… 추석에도 소주 매출 제칠까,2021.09.12.,http://moneys.mt.co.kr/news/mwView.php?no=2021091017348059550,소비트렌드 변화
