키워드,언론사,기사명,날짜,URL
SBS,"""소상공인 손실보상 10월 말 지급…10월에 위드 코로나""",2021-09-30,https://news.sbs.co.kr/news/endPage.do?news_id=N1006481425&plink=ORI&cooper=NAVER,위드 코로나
뉴시스,"홍남기 ""내달부터 '위드 코로나' 시도…손실 보상금 지급""",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598105&cID=10401&pID=10400,위드 코로나
노컷뉴스,"정부 ""11월 '위드 코로나' 위해 사적모임 제한기준 단순화 필요""",2021-09-30,https://www.nocutnews.co.kr/news/5632130,위드 코로나
조세일보,"생산·소비·투자 모두 감소…정부 ""10월 위드코로나로 회복 주력""",2021-09-30,http://www.joseilbo.com/news/news_read.php?uid=434329&class=1&grp=,위드 코로나
이데일리,홍남기 “위드코로나 시도…방역·경제 조화로 민생 회복”,2021-09-30,http://www.edaily.co.kr/news/newspath.asp?newsid=01351366629185368,위드 코로나
조선비즈,‘위드 코로나’ 전제조건…치료제 개발에 승부거는 국내 제약사들,2021-09-30,https://biz.chosun.com/it-science/bio-science/2021/09/30/SNQQ6SXSMNGJLAJZHYNV23RPUM/?utm_source=naver&utm_medium=original&utm_campaign=biz,위드 코로나
경향신문,"일본 오늘부터 긴급사태 해제, 위드 코로나 돌입",49분 전,https://www.khan.co.kr/world/japan/article/202110010836001,위드 코로나
KBS,‘위드 코로나’ 시험대에 선 충장축제·국향대전,2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5290891&ref=A,위드 코로나
이데일리,생산·소비·투자까지 파고든 코로나…`위드코로나`가 처방될까,A3면 TOP,http://www.edaily.co.kr/news/newspath.asp?newsid=03411206629185368,위드 코로나
파이낸셜뉴스,"홍남기 ""베이비붐 은퇴자 채용 장려금 확대…10월 위드 코로나 시작""(종합)",2021-09-30,http://www.fnnews.com/news/202109300847025420,위드 코로나
뉴시스,'위드 코로나' 헬스케어 키워드…비대면 진료·홈케어·펫,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598473&cID=10201&pID=10200,위드 코로나
파이낸셜뉴스,종근당 코로나 치료제 우크라이나 임상 3상 시작,18면 1단,http://www.fnnews.com/news/202109301845375655,위드 코로나
뉴시스,"日, 내일 긴급사태 해제…'위드코로나'로 전환",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598696&cID=10101&pID=10100,위드 코로나
