키워드,언론사,기사명,날짜,URL
한국일보,[단독] 이천시 '1인당 15만원' 특별지원금 지급...정부지원금과 별개,56분 전,https://hankookilbo.com/News/Read/A2021100108250001416?did=NA,재난 지원금
머니투데이,"더치페이 요구하자 친구가 한 말…""재난지원금으로 계산했잖아""",2021-09-30,http://news.mt.co.kr/mtview.php?no=2021092917540232379,재난 지원금
뉴시스,"""국민지원금 사용처, 당근마켓서 한 눈에 본다""",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598646&cID=13001&pID=13000,재난 지원금
KBS,"[같이경제] 상생소비지원금, 어떻게 받을까?",2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5291023&ref=A,재난 지원금
새전북신문,전북 자체 재난지원금 지급 전국서 3번째로 많아,2021-09-30,http://sjbnews.com/news/news.php?number=724664,재난 지원금
국민일보,“재난지원금은 더치페이 요구할 수 없나요?”[사연뉴스],2021-09-30,http://news.kmib.co.kr/article/view.asp?arcid=0016319747&code=61121111&cp=nv,재난 지원금
조선일보,경기도 상반기 재난지원금 1조3911억원… 나머지 시도 합계보다 많아,2021-09-30,https://www.chosun.com/national/regional/2021/09/30/ZKGRSO4CTBGIRGC5YUCAKSISTA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,재난 지원금
뉴스1,"성남시, 대장동 배당금 1천억원 재난지원금으로 사용",2021-09-30,https://www.news1.kr/articles/?4447957,재난 지원금
뉴시스,도·농 간 소득격차 축소 코로나 여파 따른 '재난지원금 효과',2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598433&cID=10201&pID=10200,재난 지원금
머니S,우리 동네 국민지원금 어디서 쓸까… '당근마켓'이 알려준다,2021-09-30,http://moneys.mt.co.kr/news/mwView.php?no=2021093015558053951,재난 지원금
조선비즈,재난지원금 이의신청 19만5000건…카드 캐시백은 11월 15일부터,2021-09-30,https://biz.chosun.com/policy/policy_sub/2021/09/29/DPJSJYKGARFXNN6NBZA5AAH7E4/?utm_source=naver&utm_medium=original&utm_campaign=biz,재난 지원금
서울경제,"대전시, 학교밖 청소년에 교육재난지원금 준다",13분 전,https://www.sedaily.com/NewsView/22SKLTJRT7,재난 지원금
뉴시스,"아산 재난지원금 못받은 5만281명 ""10월 10일 전후 지급 예상""",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598572&cID=10807&pID=10800,재난 지원금
뉴시스,"""상위 12%도 받는다""…경기도 '제3차 재난기본소득' 오늘부터 신청",2021-10-01,http://www.newsis.com/view/?id=NISX20210929_0001596828&cID=10803&pID=14000,재난 지원금
머니투데이,"코로나 국민지원금 사용처, 당근마켓서 한눈에 본다",2021-09-30,http://news.mt.co.kr/mtview.php?no=2021093012585321383,재난 지원금
뉴시스,"서울시, '양육재난지원금 지원' 등 조례·규칙 75건 공포",2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001597819&cID=10201&pID=10200,재난 지원금
뉴스1,10월1일부터 3차 경기도 재난기본소득 온라인 신청 시작,2021-09-29,https://www.news1.kr/articles/?4446517,재난 지원금
뉴스1,"성남시, 대장동 배당금 1천억원 재난지원금으로 사용",2021-09-30,https://www.news1.kr/articles/?4447957,재난 지원금
KBS,"춘천시, 소상공인에 50만 원씩 재난지원금 지급",2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5290553&ref=A,재난 지원금
프레시안,"안성시, 제3차 문화예술인 재난지원금 1인 100만원 지급",2021-09-30,https://www.pressian.com/pages/articles/2021093017290374996?utm_source=naver&utm_medium=search,재난 지원금
한국경제,"""재난지원금으로 계산한 밥값 달라는 게 이상한 건가요""",2021-09-30,https://www.hankyung.com/society/article/2021092941867,재난 지원금
에너지경제,"재난지원금 신용카드 캐시백 신청 오늘부터…월 최대 10만원, 할부는 일괄계산",2021-10-01,https://www.ekn.kr/web/view.php?key=20211001010000008,재난 지원금
뉴스1,춘천시 모든 소상공인에 재난지원금 ‘50만원’,2021-09-30,https://www.news1.kr/articles/?4447234,재난 지원금
