키워드,언론사,기사명,날짜,URL
노컷뉴스,"정부 ""11월 '위드 코로나' 위해 사적모임 제한기준 단순화 필요""",2021-09-30,https://www.nocutnews.co.kr/news/5632130,코로나 생활 변화
뉴시스,경기도민 10명 중 2명 코로나19 상황따라 출근 교통수단 변경,2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001596771&cID=10803&pID=14000,코로나 생활 변화
조선비즈,코로나 시대에 인기 끄는 ‘테라스 특화 단지’,2021-09-30,https://biz.chosun.com/real_estate/real_estate_general/2021/09/30/KTZDXSVDOJDWVAEMC6BWI7E7SQ/?utm_source=naver&utm_medium=original&utm_campaign=biz,코로나 생활 변화
아이뉴스24,"NHN, 환경과 사회 위한 변화 '위 체인지' 캠페인 시작",2021-09-29,http://www.inews24.com/view/1407524,코로나 생활 변화
동아일보,자영업자 86% “거리두기 완화 효과없어”…위드코로나 조기 전환 목소리,2021-09-30,https://www.donga.com/news/article/all/20210929/109476448/1,코로나 생활 변화
중앙일보,경기도민 20% “코로나19 상황 따라 출근 교통수단 변경”,2021-09-30,https://www.joongang.co.kr/article/25010860,코로나 생활 변화
뉴시스,코로나 여파에 작년 카드 사용액 1.5% 줄어…연체는 14%↑,2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001597206&cID=10401&pID=10400,코로나 생활 변화
뉴스1,"[인터뷰]여운철 ""2022년은 포스트코로나 준비…경제 회복 정책 추진""",2021-10-01,https://www.news1.kr/articles/?4448616,코로나 생활 변화
세계일보,코로나 공포감 줄었나… 4차 대유행에도 소비심리 상승세 전환,2021-09-29,http://www.segye.com/content/html/2021/09/28/20210928511237.html?OutUrl=naver,코로나 생활 변화
파이낸셜뉴스,"쾌적하고 편안한 집콕생활, 우리에게 맡겨!",24면 1단,http://www.fnnews.com/news/202109301833494407,코로나 생활 변화
이투데이,[창간기획] '위드 코로나' 다시 일상행복 꿈꾼다,2021-10-01,https://www.etoday.co.kr/news/view/2065893,코로나 생활 변화
시사저널,코로나 블루·소진증후군 벗어나는 슬기로운 해결법 5가지,2021-09-30,http://www.sisajournal.com/news/articleView.html?idxno=224716,코로나 생활 변화
매일일보,[기고] 코로나블루와 정신건강의 날,2021-09-30,http://www.m-i.kr/news/articleView.html?idxno=863760,코로나 생활 변화
중앙일보,경기도민 20% “코로나19 상황 따라 출근 교통수단 변경”,2021-09-30,https://www.joongang.co.kr/article/25010860,코로나 생활 변화
인사이트,"""코로나보다 사람이 먼저다""...'백신패스' 반대 국민청원 등장",2021-09-30,https://www.insight.co.kr/news/360816,코로나 생활 변화
아이뉴스24,"NHN, 환경과 사회 위한 변화 '위 체인지' 캠페인 시작",2021-09-29,http://www.inews24.com/view/1407524,코로나 생활 변화
내일신문,"기시다, 최우선 과제는 코로나 극복",2021-09-30,http://www.naeil.com/news_view/?id_art=400312,코로나 생활 변화
중앙일보,"자영업자, 의료인과 함께 ""10월에 위드 코로나 전환해야"" 촉구",2021-09-30,https://www.joongang.co.kr/article/25011251,코로나 생활 변화
뉴시스,"건협 ""코로나 위기 극복 위해 내년 SOC 예산 30조 편성해야""",2021-09-29,http://www.newsis.com/view/?id=NISX20210928_0001595454&cID=10401&pID=10400,코로나 생활 변화
강원도민일보,"[강릉]""어촌뉴딜·스마트 양식, 포스트 코로나 시대 새로운 잠재력""",2021-09-30,http://www.kado.net/news/articleView.html?idxno=1093116,코로나 생활 변화
뉴스1,위드 코로나 성패 가를 '재택치료' 연착륙에 필요한 3가지 조건,2021-09-29,https://www.news1.kr/articles/?4446398,코로나 생활 변화
동아일보,"사단법인 좋은변화, 배우 주원 팬연합과 쪽방촌 도시락 나눔봉사",2021-09-30,https://www.donga.com/news/article/all/20210930/109489178/1,코로나 생활 변화
