키워드,언론사,기사명,날짜,URL
노컷뉴스,"정부 ""11월 '위드 코로나' 위해 사적모임 제한기준 단순화 필요""",2021-09-30,https://www.nocutnews.co.kr/news/5632130,코로나 영향
이데일리,코로나 직격탄 맞은 경제…생산·소비·투자 모두 줄었다(상보),2021-09-30,http://www.edaily.co.kr/news/newspath.asp?newsid=01456326629185368,코로나 영향
한겨레,가계대출 금리 3% 돌파…기준금리 인상 영향 시작됐다,17면 1단,https://www.hani.co.kr/arti/economy/economy_general/1013334.html,코로나 영향
헬스조선,"""코로나 스트레스, 생리 주기에도 영향 미쳐""",2021-10-01,https://health.chosun.com/site/data/html_dir/2021/09/30/2021093000989.html,코로나 영향
파이낸셜뉴스,코로나19 재확산으로 생산·소비·투자 '트리플 감소'…회복세 주춤(종합),2021-09-30,http://www.fnnews.com/news/202109300909515359,코로나 영향
뉴시스,"유튜브, 오늘부터 코로나19 포함 모든 백신 가짜뉴스 원천 차단",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598387&cID=10101&pID=10100,코로나 영향
SBS Biz,주담대 3%·신용 4%…코로나 전으로 되돌아간 은행 금리,2021-09-30,https://biz.sbs.co.kr/article_hub/20000032722?division=NAVER,코로나 영향
뉴스1,"코로나19 영향, 8월 생산·소비·투자 감소",2021-09-30,https://www.news1.kr/photos/view/?4995373,코로나 영향
BBS NEWS,[코로나19] 8월 생산-소비-투자 트리플 감소...경기회복세 주춤,2021-09-30,https://news.bbsi.co.kr/news/articleView.html?idxno=3045758,코로나 영향
뉴시스,"홍남기 ""고령자 추가 채용 장려금…10월 위드 코로나""(종합)",2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598141&cID=10401&pID=10400,코로나 영향
파이낸셜뉴스,'코로나 지속' 기업체감경기 다시 하락,2021-09-30,http://www.fnnews.com/news/202109291543153396,코로나 영향
노컷뉴스,"정부 ""11월 '위드 코로나' 위해 사적모임 제한기준 단순화 필요""",2021-09-30,https://www.nocutnews.co.kr/news/5632130,코로나 영향
뉴시스,코로나 때문에…美 1달러 행복 '달러 트리' 가격 소폭 인상,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598736&cID=10101&pID=10100,코로나 영향
뉴스1,"종로구, 코로나 결식 우려 아동에 식사 지원…한끼당 7000원",15분 전,https://www.news1.kr/articles/?4449177,코로나 영향
뉴시스,코로나 여파에 작년 카드 사용액 1.5% 줄어…연체는 14%↑,2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001597206&cID=10401&pID=10400,코로나 영향
머니S,"미국 CDC ""임산부도 코로나 백신 맞아야… 아이 건강도 지킬 수 있다""",2021-09-30,http://moneys.mt.co.kr/news/mwView.php?no=2021093009388027740,코로나 영향
이데일리,홍남기 “위드코로나 시도…방역·경제 조화로 민생 회복”,2021-09-30,http://www.edaily.co.kr/news/newspath.asp?newsid=01351366629185368,코로나 영향
