"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-008","여의도4주차장","889","117031","2021/09"
"PLT-005","뚝섬4주차장","2616","193445","2021/09"
"PLT-004","이촌2주차장","1676","110822","2021/09"
"PLT-008","여의도5주차장","1132","74738","2021/09"
"PLT-010","잠원1-6주차장","13530","923181","2021/09"
"PLT-001","강서1주차장","2067","136767","2021/09"
"PLT-011","잠실1234주차장","24768","1512033","2021/09"
"PLT-005","뚝섬1주차장","1764","124783","2021/09"
"PLT-009","반포1주차장","12786","813389","2021/09"
"PLT-008","여의도2주차장","16876","1983451","2021/09"
"PLT-008","여의도1주차장","43648","3871216","2021/09"
"PLT-004","이촌34주차장","16008","1274472","2021/09"
"PLT-009","반포23주차장","26069","1761759","2021/09"
"PLT-004","이촌1주차장","1019","61429","2021/09"
"PLT-007","양화2주차장","364","23699","2021/09"
"PLT-007","양화2주차장","44","2595","2021/09"
"PLT-003","망원23주차장","5916","498099","2021/09"
"PLT-005","뚝섬2주차장","6188","600717","2021/09"
"PLT-007","양화2주차장","611","45167","2021/09"
"PLT-005","뚝섬2주차장","392","15443","2021/09"
"PLT-003","망원23주차장","537","22907","2021/09"
"PLT-005","뚝섬1주차장","3756","281814","2021/09"
"PLT-007","양화2주차장","970","77513","2021/09"
"PLT-005","뚝섬2주차장","10199","1007300","2021/09"
"PLT-003","망원23주차장","9848","857614","2021/09"
"PLT-011","잠실1234주차장","52848","3427850","2021/09"
"PLT-001","강서1주차장","4366","304797","2021/09"
"PLT-004","이촌34주차장","9444","748821","2021/09"
"PLT-008","여의도1주차장","25630","2183790","2021/09"
"PLT-008","여의도2주차장","9668","1209381","2021/09"
"PLT-009","반포1주차장","7439","453053","2021/09"
"PLT-008","여의도3주차장","9838","1754270","2021/09"
"PLT-002","난지123주차장","16573","995642","2021/09"
"PLT-008","여의도4주차장","1680","360516","2021/09"
"PLT-005","뚝섬3주차장","4477","373338","2021/09"
"PLT-005","뚝섬4주차장","5432","456836","2021/09"
"PLT-004","이촌2주차장","3263","233238","2021/09"
"PLT-008","여의도5주차장","2584","465967","2021/09"
"PLT-010","잠원1-6주차장","26579","2121124","2021/09"
"PLT-005","뚝섬1주차장","2935","216155","2021/09"
"PLT-011","잠실1234주차장","40907","2584867","2021/09"
"PLT-001","강서1주차장","3405","231983","2021/09"
"PLT-011","잠실1234주차장","56756","3649372","2021/09"
"PLT-001","강서1주차장","4625","322470","2021/09"
"PLT-004","이촌34주차장","6950","517032","2021/09"
"PLT-008","여의도1주차장","19182","1242782","2021/09"
"PLT-008","여의도2주차장","7204","703668","2021/09"
"PLT-006","광나루12주차장","6562","440442","2021/09"
"PLT-004","이촌1주차장","1571","95674","2021/09"
"PLT-008","여의도4주차장","2468","574632","2021/09"
"PLT-005","뚝섬3주차장","7365","646353","2021/09"
"PLT-003","망원1주차장","3146","227822","2021/09"
"PLT-007","양화345주차장","8545","663304","2021/09"
"PLT-009","반포1주차장","5636","337250","2021/09"
"PLT-005","뚝섬1주차장","101","3347","2021/09"
"PLT-008","여의도3주차장","2943","229041","2021/09"
"PLT-002","난지123주차장","5031","143682","2021/09"
"PLT-011","잠실1234주차장","2868","74983","2021/09"
"PLT-001","강서1주차장","190","7065","2021/09"
"PLT-004","이촌1주차장","1183","68096","2021/09"
"PLT-008","여의도4주차장","1747","367341","2021/09"
"PLT-005","뚝섬3주차장","5376","460086","2021/09"
"PLT-005","뚝섬4주차장","1632","98678","2021/09"
"PLT-004","이촌2주차장","904","45569","2021/09"
"PLT-008","여의도5주차장","880","37931","2021/09"
"PLT-009","반포23주차장","47940","3333582","2021/09"
"PLT-006","광나루3주차장","8976","496096","2021/09"
"PLT-007","양화1주차장","3710","336579","2021/09"
"PLT-009","반포23주차장","34588","2382712","2021/09"
"PLT-010","잠원1-6주차장","7810","425363","2021/09"
"PLT-009","반포23주차장","22990","1520114","2021/09"
"PLT-007","양화1주차장","2559","220083","2021/09"
"PLT-006","광나루3주차장","6384","335716","2021/09"
"PLT-004","이촌1주차장","1487","89726","2021/09"
"PLT-006","광나루12주차장","3455","200721","2021/09"
"PLT-008","여의도4주차장","2250","510320","2021/09"
"PLT-005","뚝섬3주차장","6952","611278","2021/09"
"PLT-003","망원23주차장","13636","1204257","2021/09"
"PLT-007","양화1주차장","5085","472434","2021/09"
"PLT-006","광나루3주차장","12851","711941","2021/09"
"PLT-005","뚝섬3주차장","3501","295106","2021/09"
"PLT-008","여의도4주차장","1291","242602","2021/09"
"PLT-004","이촌1주차장","799","44818","2021/09"
"PLT-007","양화345주차장","12628","988823","2021/09"
"PLT-003","망원1주차장","4519","340713","2021/09"
"PLT-006","광나루12주차장","9544","659352","2021/09"
"PLT-003","망원23주차장","2069","111259","2021/09"
"PLT-001","강서1주차장","2351","154527","2021/09"
"PLT-011","잠실1234주차장","28666","1740305","2021/09"
"PLT-005","뚝섬1주차장","1971","139779","2021/09"
"PLT-007","양화345주차장","17249","1406761","2021/09"
"PLT-010","잠원1-6주차장","39665","3132969","2021/09"
"PLT-008","여의도5주차장","3531","716384","2021/09"
"PLT-004","이촌2주차장","4647","336088","2021/09"
"PLT-005","뚝섬4주차장","8033","696515","2021/09"
"PLT-002","난지123주차장","23809","1466598","2021/09"
"PLT-008","여의도3주차장","13710","2577746","2021/09"
"PLT-005","뚝섬1주차장","484","22718","2021/09"
"PLT-011","잠실1234주차장","8894","328221","2021/09"
"PLT-003","망원1주차장","1616","110133","2021/09"
"PLT-007","양화345주차장","4496","302373","2021/09"
"PLT-003","망원23주차장","6708","564670","2021/09"
"PLT-005","뚝섬2주차장","6878","673021","2021/09"
"PLT-007","양화2주차장","679","50033","2021/09"
"PLT-008","여의도3주차장","6607","609874","2021/09"
"PLT-002","난지123주차장","11690","737457","2021/09"
"PLT-005","뚝섬4주차장","3748","303537","2021/09"
"PLT-004","이촌2주차장","2451","175640","2021/09"
"PLT-004","이촌34주차장","10463","833175","2021/09"
"PLT-008","여의도1주차장","28595","2546118","2021/09"
"PLT-008","여의도2주차장","10909","1395886","2021/09"
"PLT-009","반포1주차장","8254","504119","2021/09"
"PLT-008","여의도5주차장","1310","93653","2021/09"
"PLT-010","잠원1-6주차장","19594","1427787","2021/09"
"PLT-009","반포1주차장","11001","687989","2021/09"
"PLT-008","여의도2주차장","14446","1785733","2021/09"
"PLT-008","여의도1주차장","37925","3392557","2021/09"
"PLT-004","이촌34주차장","13755","1088063","2021/09"
"PLT-004","이촌1주차장","65","2821","2021/09"
"PLT-007","양화2주차장","818","62861","2021/09"
"PLT-005","뚝섬2주차장","8486","834410","2021/09"
"PLT-003","망원23주차장","8386","715462","2021/09"
"PLT-008","여의도3주차장","10988","2104914","2021/09"
"PLT-002","난지123주차장","18549","1108961","2021/09"
"PLT-005","뚝섬4주차장","6190","526293","2021/09"
"PLT-004","이촌2주차장","3641","259632","2021/09"
"PLT-008","여의도5주차장","2975","572430","2021/09"
"PLT-010","잠원1-6주차장","30047","2395127","2021/09"
"PLT-007","양화345주차장","2403","124357","2021/09"
"PLT-008","여의도4주차장","220","8902","2021/09"
"PLT-005","뚝섬3주차장","206","10180","2021/09"
"PLT-006","광나루3주차장","11857","667370","2021/09"
"PLT-007","양화1주차장","4775","440262","2021/09"
"PLT-009","반포23주차장","45262","3152590","2021/09"
"PLT-005","뚝섬1주차장","2433","175917","2021/09"
"PLT-011","잠실1234주차장","36265","2195967","2021/09"
"PLT-001","강서1주차장","2908","191762","2021/09"
"PLT-006","광나루12주차장","7379","497194","2021/09"
"PLT-003","망원1주차장","3501","259082","2021/09"
"PLT-007","양화345주차장","9515","746997","2021/09"
"PLT-007","양화1주차장","2850","254653","2021/09"
"PLT-006","광나루3주차장","7176","375795","2021/09"
"PLT-001","강서1주차장","2613","172937","2021/09"
"PLT-006","광나루12주차장","4921","317123","2021/09"
"PLT-003","망원1주차장","2293","153645","2021/09"
"PLT-007","양화345주차장","6505","490420","2021/09"
"PLT-011","잠실1234주차장","32373","1963631","2021/09"
"PLT-005","뚝섬1주차장","2174","154811","2021/09"
"PLT-006","광나루3주차장","622","12717","2021/09"
"PLT-007","양화1주차장","225","8781","2021/09"
"PLT-003","망원23주차장","1126","52680","2021/09"
"PLT-005","뚝섬2주차장","868","32000","2021/09"
"PLT-007","양화2주차장","80","3744","2021/09"
"PLT-009","반포23주차장","1592","56240","2021/09"
"PLT-007","양화345주차장","10588","829281","2021/09"
"PLT-003","망원1주차장","3914","296157","2021/09"
"PLT-006","광나루12주차장","8155","545967","2021/09"
"PLT-007","양화345주차장","16411","1332328","2021/09"
"PLT-003","망원1주차장","5764","435590","2021/09"
"PLT-006","광나루12주차장","12642","882417","2021/09"
"PLT-006","광나루12주차장","1918","73738","2021/09"
"PLT-009","반포23주차장","17102","1115403","2021/09"
"PLT-003","망원23주차장","7490","634615","2021/09"
"PLT-004","이촌34주차장","4754","317437","2021/09"
"PLT-008","여의도1주차장","12966","742919","2021/09"
"PLT-007","양화1주차장","1790","117252","2021/09"
"PLT-006","광나루3주차장","4093","213599","2021/09"
"PLT-005","뚝섬2주차장","7588","749516","2021/09"
"PLT-007","양화2주차장","740","56073","2021/09"
"PLT-010","잠원1-6주차장","50975","4187692","2021/09"
"PLT-008","여의도5주차장","4500","984899","2021/09"
"PLT-004","이촌2주차장","6053","439774","2021/09"
"PLT-005","뚝섬4주차장","10556","936502","2021/09"
"PLT-002","난지123주차장","31115","1960554","2021/09"
"PLT-008","여의도3주차장","17676","3535294","2021/09"
"PLT-003","망원1주차장","869","55718","2021/09"
"PLT-008","여의도2주차장","4908","515806","2021/09"
"PLT-009","반포1주차장","3862","214073","2021/09"
"PLT-004","이촌1주차장","131","5534","2021/09"
"PLT-008","여의도4주차장","435","16055","2021/09"
"PLT-005","뚝섬3주차장","454","21489","2021/09"
"PLT-004","이촌1주차장","210","9106","2021/09"
"PLT-008","여의도4주차장","542","32233","2021/09"
"PLT-007","양화2주차장","1318","105222","2021/09"
"PLT-005","뚝섬2주차장","14090","1418848","2021/09"
"PLT-005","뚝섬3주차장","2689","231051","2021/09"
"PLT-008","여의도4주차장","660","42346","2021/09"
"PLT-004","이촌1주차장","583","27757","2021/09"
"PLT-005","뚝섬3주차장","941","57892","2021/09"
"PLT-007","양화345주차장","657","25258","2021/09"
"PLT-003","망원1주차장","233","12303","2021/09"
"PLT-006","광나루12주차장","539","13433","2021/09"
