,상영작/예정작 영화 평점
0,6.80
1,8.96
2,7.36
3,6.77
4,9.42
5,8.41
6,8.20
7,8.32
8,8.60
9,8.67
10,8.28
11,8.15
12,6.78
13,8.47
14,9.09
15,9.00
16,8.98
17,7.01
18,8.56
19,8.59
20,9.11
21,9.59
22,8.92
23,8.56
24,7.63
25,8.29
26,7.96
27,10.00
28,6.72
29,7.67
30,8.25
31,8.71
32,8.23
33,8.92
34,5.67
35,7.84
36,8.00
37,9.55
38,7.55
39,5.33
40,4.71
41,4.92
42,7.50
43,8.48
44,6.89
45,7.91
46,8.16
47,8.00
48,8.51
49,7.06
50,8.30
51,6.14
52,8.45
53,9.40
54,7.43
55,7.84
56,9.33
57,9.14
58,9.44
59,8.64
60,7.49
61,8.39
62,8.92
63,8.97
64,5.70
65,8.77
66,8.08
67,6.00
68,9.22
69,8.58
70,8.10
71,5.08
72,8.30
73,7.52
74,7.52
75,8.11
76,8.89
77,9.46
78,9.17
79,8.98
80,8.20
81,9.11
82,8.74
83,8.48
84,8.30
85,8.37
86,0.00
87,8.94
88,8.29
89,6.97
90,6.79
91,8.26
92,8.25
93,8.91
94,8.31
95,7.20
96,8.13
97,8.84
98,8.87
99,9.02
100,8.11
101,9.58
102,9.19
103,7.40
104,7.68
105,8.88
106,9.36
107,9.33
108,9.21
109,9.38
110,9.44
111,9.24
112,7.57
113,9.26
114,9.08
115,9.01
