,영화'맘마미아1' 감상평
0,"당신을 만날 수 있다면, 지금이 좀 더 외로워도 참아낼 수 있을 거 같다."
1,"뮤지컬영화  별루 안 좋아 하는데 맘마미아는 정말 최고네요눈과 귀를,호강시켜주는 영화"
2,상큼한데 달달하고 이게 무슨 맛인가 싶다가도 자꾸 생각나는 자몽에이드
3,눈과 귀가 즐거운 행복한 영화.
4,
5,아니 노래도 좋고 다 좋은데 자막 ㄹㅇ 가족끼리보는데
6,"보고 또 보고, 또 보고 보고."
7,오바떠는 연기가 너무 보기싫고 힘듦
8,? 지금 내가 뭘 본거지..
9,"내 첫 뮤지컬 영화, 감동으로 다가서다."
10,최고의 영화이지요 맘마미아
11,"배우들의 풍성한 감정표현과 성량, 노래, 연출, 배경, 스토리 다 좋았다. 매년 1-2회 감상한다. 특히 여름날에 보면 시원한 배경과 함께 자유롭게 여행 다녀온 느낌이 드는 인생 영화! 추천합니다!"
12,2021년에 봐도 감동적
13,어렸을땐 몰랐는데 커서 보니까 너무너무 재밌네요ㅜㅜ 보는 내내 엄마 생각나서 눈물이....
14,아니 세상에... 맘마미아2가 9점대인데 1이 8점대인게 말이되나ㅋ 평점 올리기 10점. 뮤지컬영화중에 최고..
15,"그리스 배경에 청량한 느낌, 항상 웃고 있는 배우분들의 표정, 중독성 강한 Ost까지 정말 작품성이 높은 탄탄한 스토리는 아니지만 행복해지고 싶을 때 보는 인생 영화"
16,아름다운 영상과 상황에 맞는 멋진 노래들
17,아만다 사이프리드 너무 예쁘고 영화도 재밌어요ㅠㅠ 시즌2도 얼른 봐야겠네요
18,보는 내내 가슴이 뛰는게 느껴졌던 영화. 내가 지금까지 봤던 그 어떤 영화들보다도 좋다.
19,와.. 아만다 진짜 이쁘다...와.. 이노래도?와.. 이 노래도오?!
20,아바의 주옥같은 노래와 도나와 멋진 세오빠와 그리고 아름다운 그리스 바다. 뭐가 더 필요할까?
21,아름다움. 즐거움. 미소짓고 있지만 눈물나는 인생영화♡
22,내인생 최고의 영화를 꼽자면 당연히 맘마미아라고 할수있을정도로 맘마미아를 좋아하고 많이 봤지만 볼때마다 즐겁고 새로운영화다 맘마미아를 처음본게 초등학생땐데 그후 10몇년이 지난 지금까지도 자주 찾아보고 노래를듣곤한다 볼때마다 나에게 감동을주는 세월이 아무리지나도 촌스럽지않은 영화이다.
23,ㅠ행ㅠ복ㅠ해ㅠ진짜 절대후회업는영화암튼보세ㅐ요
24,"색감으로 연출력을, 노래로 산만함을, 연기로 캐릭터성을 가리려는 꿈"
25,"존잼,,,뮤지컬영화 안 좋아하는데 속는셈 치고 유명하니까 봤는데꿀잼 ㅜㅜ 유쾌하고 노래 너무 좋다 ,, 댄싱퀸이랑 맘마미아 ,,이거보고 그리스 가고 싶어짐 풍경 너무 아름답다아만다 사이프리드 개이뿌다; 기회가 된다면 또 보고싶은 영화임"
26,굿입니다
27,너무 기대를 한 탓인가 흥겹고 반짝반짝 하지만 생각보다 지루했었다
28,음악이 너무 좋아요!!
29,너무나 행복해 지는 아름다운 뮤지컬영화
30,볼 때 마다 행복해지는 영화
31,메릴 스트립 저 나이에 노래도 잘 불러 춤도 잘 춰... 믿보배??ㄹㅇ 내 인생 영화 띵작 ㄹㅇ감동적이면서도 약간의 코미디가 있고 보는 내내 웃고 있음...ost다 좋아메릴 스트립 입덕 완료
32,"영화보다가 중도포기한건 이게 처음이다. 익숙한 노래 나오는거 말고는 정말 재미없네. 후반부에는 재밌을지 어떨지 모르겠지만, 꾹 참고 볼 영화까지는 아닌것 같다. 일단 점수는 보류하는걸로 하고 5점."
33,이걸 엄마랑 딸이 같이 손잡고 봐야한다는 사람들은 도대체 무슨 생각인걸까
34,그냥 노래만 들으세요
35,너무너무너무너무조아요
36,
37,
38,너무 재밌고 음악이 너무 좋네요!
39,여자들이 남자와 연예관계에대해 웃어대면서 노래하는이야기. 노래는좋지만 소재가 엄연히 여성적이라 남자들에겐 재미없음. 순정장르를 좋아하는사람이나 봐라
40,내가 봤던 뮤지컬 영화 중에서 처음부터 끝까지 가장 완벽한 영화
41,
42,"궁금해서 한번 봤는데 스토리가 헐.... 이네요. 개막장 스토리는 외면하고 노래, 춤, 배경 이런거 구경하는 재미로 보면 그럭저럭 볼만한듯.."
43,내가 이영화를 24살때 처음 봤고 지금 딸이 6세이다.딸이 20살이 됐을때 꼭 같이 보고 싶은 영화.내생애 베스트 탑5안에 드는 명작♡♡♡♡
44,진짜 최고의 뮤지컬 영화
45,아무리 뮤지컬 영화라도 시작부터 끝까지 집중할 수가 없는 내용.역하렘이나 판타지를 꿈꾸는사람들에겐 좋을듯. 아바의 음악만 좋다.
46,"음악, 풍경, 분위기는 좋았으나 스토리는 도저히 공감이 안가서 아쉬웠다.. 스토리의 아쉬움때문인지 크게 남는건 없는 느낌.. 마지막 끝날때 연이어 나오는 아바의 곡들이 그나마 영화를 빛내주는듯"
47,세상어디에도없는 수면영화
48,제 인생영화에요ㅠㅠ
49,스토리 ?
